160,Hunt or Be Hunted?! Showdown at the O.K. Temple!,Filler
161,The Appearance of Strange Visitors,Filler
162,The Cursed Warrior,Filler
163,The Tactician's Intent,Filler
164,Too Late for Help,Filler
165,The Death of Naruto,Filler
166,When Time Stands Still,Filler
167,When Egrets Flap Their Wings,Filler
168,"Mix It, Stretch It, Boil It Up! Burn, Copper Pot, Burn!",Filler
169,Remembrance: The Lost Page,Filler
170,The Closed Door,Filler
171,Infiltration: The Set-Up!,Filler
172,Despair: A Fractured Heart,Filler
173,The Battle at Sea: The Power Unleashed!,Filler
174,Impossible! Celebrity Ninja Art - Money Style Jutsu!,Filler
175,The Treasure Hunt is On!,Filler
176,"Run, Dodge, Zigzag! Chase or Be Chased!",Filler
177,"Please, Mr. Postman!",Filler
178,Encounter! The Boy with a Star's Name,Filler
179,The Remembered Lullaby,Filler
180,Hidden Jutsu: The Price of The Ninja Art: Kujaku,Filler
181,"Hoshikage, The Buried Truth",Filler
182,"Reunion, The Remaining time",Filler
183,The Star's Radiance,Filler
184,Kiba's Long Day!,Filler
185,A Legend from the Hidden Leaf: The Onbaa!,Filler
186,Laughing Shino,Filler
187,Open for Business! The Leaf Moving Service,Filler
188,Mystery of the Targeted Merchants,Filler
189,A Limitless Supply of Ninja Tools,Filler
190,The Byakugan Sees the Blind Spot,Filler
191,Forecast: Death! Cloudy with Chance of Sun,Filler
192,Ino Screams! Chubby Paradise!,Filler
193,Viva Dojo Challenge! Youth Is All About Passion!,Filler
194,The Mysterious Curse of the Haunted Castle,Filler
195,The Third Super-Beast!,Filler
196,Hot-Blooded Confrontation: Student vs. Sensei,Filler
197,Crisis! The Hidden Leaf 11 Gather!,Filler
198,The ANBU Gives Up? Naruto's Recollection,Filler
199,The Missed Target,Filler
200,The Powerful Helper,Filler
201,Multiple Traps! Countdown to Destruction,Filler
202,The Top 5 Ninja Battles,Filler
203,"Kurenai's Decision, Squad 8 Left Behind",Filler
204,Yakumo's Sealed Ability,Filler
205,Kurenai's Top-Secret Mission: The Promise With the Third Hokage,Filler
206,Genjutsu or Reality?,Filler
207,The Supposed Sealed Ability,Filler
208,The Weight of the Prized Artifact!,Filler
209,The Enemy: Ninja Dropouts,Filler
210,The Bewildering Forest,Filler
211,Memory of Flames,Filler
212,To Each His Own Path,Filler
213,Vanished Memories,Filler
214,Bringing Back Reality,Filler
215,A Past to Be Erased,Filler
216,The Targeted Shukaku,Filler
217,Sand Alliance with the Leaf Shinobi,Filler
218,The Counterattack!,Filler
219,The Ultimate Weapon Reborn,Filler
220,Departure,Mostly Filler
